City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lima,PE,58.89,broken clouds,-12.0432,-77.0282,Hotel Kamana
4,Yellowknife,CA,48.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
5,Bluff,NZ,46.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Saldanha,ZA,48.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
8,Rikitea,PF,72.55,clear sky,-23.1203,-134.9692,People ThankYou
9,La Primavera,CO,71.42,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
11,Jiayuguan,CN,72.54,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
13,Matay,EG,73.45,clear sky,28.419,30.7792,Nag Aespen
18,Qaqortoq,GL,49.57,moderate rain,60.7167,-46.0333,Siniffik Inn
19,Punta Arenas,CL,39.31,light rain,-53.15,-70.9167,Hotel Hain
20,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Orgita,EE,48.58,broken clouds,58.9218,24.45,Märjamaa Hostel
22,Hermanus,ZA,51.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Jamestown,US,62.24,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,San Quintin,MX,67.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
26,Nikolskoye,RU,48.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
27,Castro,BR,48.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
28,Hobart,AU,60.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
29,Cape Town,ZA,57.11,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
30,Port Alfred,ZA,59.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
33,East London,ZA,63.07,overcast clouds,-33.0153,27.9116,Tu Casa
34,Busselton,AU,61.0,overcast clouds,-33.65,115.3333,Observatory Guest House
35,Carnarvon,AU,73.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
36,Ust-Tsilma,RU,51.12,overcast clouds,65.441,52.1498,U Praskov'i
39,Yeppoon,AU,73.18,light rain,-23.1333,150.7333,Villa Mar Colina
40,Cap-Chat,CA,50.0,broken clouds,49.1001,-66.6821,Motel Restaurant Nanook Inc.
44,Andros,GR,73.96,few clouds,37.8333,24.9333,Micra Anglia Hotel - Andros
45,Port Elizabeth,ZA,60.31,clear sky,-33.918,25.5701,39 On Nile Guest House
46,Khuzhir,RU,53.24,few clouds,53.1939,107.3397,Отель на озере Байкал Baikal View
48,Alta Gracia,AR,61.56,overcast clouds,-31.6529,-64.4283,Hotel Ritz
51,Sfantu Gheorghe,RO,64.27,broken clouds,45.8667,25.7833,Hotel Park
57,Puerto Ayora,EC,65.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
60,Le Pradet,FR,65.89,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
61,New Norfolk,AU,59.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
62,Ushuaia,AR,40.66,broken clouds,-54.8,-68.3,Albatross Hotel
63,Manzhouli,CN,47.39,broken clouds,49.6,117.4333,Angala International Youth Hostel
65,Chapais,CA,37.18,clear sky,49.7834,-74.8492,Hôtel Opémiska
67,Margate,GB,51.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
68,Mataura,NZ,46.47,broken clouds,-46.1927,168.8643,Ellie's Villa
70,Mogadouro,PT,59.25,broken clouds,41.3403,-6.7119,Pensão Russo
71,Tuktoyaktuk,CA,39.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
72,Sisimiut,GL,44.6,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
77,Athabasca,CA,50.41,broken clouds,54.7169,-113.2854,Athabasca Lodge Motel
79,Chicama,PE,57.74,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
82,Arraial Do Cabo,BR,60.66,mist,-22.9661,-42.0278,Pousada Porto Praia
83,Kaitangata,NZ,50.7,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
85,Gimli,CA,57.22,moderate rain,50.6336,-96.9907,Lakeview Gimli Resort
87,Susanville,US,62.91,clear sky,40.4163,-120.653,Comfort Inn & Suites
88,Tiksi,RU,36.55,light rain,71.6872,128.8694,Arktika
90,Zarubino,RU,68.5,overcast clouds,42.63,131.0922,Okean
93,Esperance,AU,63.3,few clouds,-33.8667,121.9,Hospitality Esperance
94,Pimentel,PE,63.34,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
96,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le four à pain
98,Beaverlodge,CA,47.55,overcast clouds,55.2166,-119.4361,Side Trax Inn
101,Cherskiy,RU,37.87,overcast clouds,68.75,161.3,Gostinitsa
104,Wanaka,NZ,50.07,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
105,Chuy,UY,54.55,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
109,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
111,Vao,NC,71.17,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
112,Bereznik,RU,49.91,overcast clouds,62.8551,42.7072,coastal Hotel
113,Koundara,GN,74.39,moderate rain,12.4833,-13.3,Residance B....
114,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
118,Svetlyy,RU,53.65,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
119,Fort-Shevchenko,KZ,72.64,broken clouds,44.5086,50.263,Oasis hotel Bautino
120,Bredasdorp,ZA,54.25,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
121,Severo-Kurilsk,RU,52.48,scattered clouds,50.6789,156.125,Kak Doma
122,Logumkloster,DK,55.33,overcast clouds,55.0594,8.9551,Løgumkloster Refugium
123,Rocha,UY,52.02,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
126,Port Shepstone,ZA,68.45,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
127,Mezen,RU,49.69,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
130,Iqaluit,CA,38.93,overcast clouds,63.7506,-68.5145,Frobisher Inn
131,Narsaq,GL,59.22,moderate rain,60.9167,-46.05,Sleep In Narsaq
132,Soria,ES,49.1,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo
133,Richards Bay,ZA,70.0,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
134,Bethel,US,61.86,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
135,Lebu,CL,44.67,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
136,Acari,PE,62.49,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
139,Inirida,CO,72.9,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
140,Tasiilaq,GL,39.36,light rain,65.6145,-37.6368,The Red House
142,Mount Gambier,AU,55.31,light intensity shower rain,-37.8333,140.7667,The Commodore
143,Santa Ana,US,73.63,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
144,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Pavullo Nel Frignano,IT,61.02,broken clouds,44.3315,10.835,Hotel Vandelli
146,Rauma,FI,48.24,broken clouds,61.1272,21.5113,Kalliohovi Hotel
148,Pacific Grove,US,60.69,broken clouds,36.6177,-121.9166,Lovers Point Inn
149,Maceio,BR,67.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
150,Clyde River,CA,35.83,overcast clouds,70.4692,-68.5914,Qamaq Hotel
152,Nome,US,50.07,light rain,64.5011,-165.4064,Dredge 7 Inn
155,Bakaly,RU,57.76,broken clouds,55.1789,53.8028,Darina
156,Brae,GB,49.17,overcast clouds,60.3964,-1.353,Busta House Hotel
158,Sumbe,AO,69.4,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
160,Saint-Francois,FR,44.04,clear sky,46.4154,3.9054,Maison Vin d'Hus
163,Flin Flon,CA,49.57,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
164,Manta,EC,69.58,few clouds,-0.95,-80.7333,Balandra Hotel
165,Tommot,RU,54.7,scattered clouds,58.9564,126.2925,Gostinitsa Tommot
166,Bonavista,CA,53.92,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
169,Constitucion,CL,53.31,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
170,Litherland,GB,48.76,scattered clouds,53.4699,-2.9981,The Royal Hotel
172,Nola,IT,73.17,scattered clouds,40.922,14.5329,Palazzo Giordano Bruno
173,Roma,US,57.09,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
174,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
178,Kodiak,US,51.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
183,Lata,PT,65.07,overcast clouds,40.1629,-8.3327,Casa Maquia
184,Port Lincoln,AU,57.72,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
186,Santa Isabel Do Rio Negro,BR,72.77,overcast clouds,-0.4139,-65.0192,Hotel GSA
187,Mar Del Plata,AR,57.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
188,Ribeira Grande,PT,73.26,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
189,San Ramon,US,61.56,clear sky,37.7799,-121.978,San Ramon Marriott
190,Cuamba,MZ,71.67,clear sky,-14.8031,36.5372,Hotel Vision
191,Berlevag,NO,46.4,light rain,70.8578,29.0864,Kvitbrakka
192,Adeje,ES,74.28,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
193,Cascais,PT,67.15,scattered clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
194,Caravelas,BR,69.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
195,Port Hardy,CA,51.8,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
196,Asau,RO,58.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
198,Inhambane,MZ,70.5,clear sky,-23.865,35.3833,Oceano
201,Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
202,Shelburne,CA,57.99,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
203,Jumla,NP,67.75,overcast clouds,29.2747,82.1838,Royal Garden Hotel
204,Florida,US,74.07,clear sky,28.7505,-82.5001,Sportsmens Cove
205,Nachalovo,RU,67.96,overcast clouds,46.338,48.2013,VILLA`RI
206,Hofn,IS,47.62,overcast clouds,64.2539,-15.2082,Hótel Höfn
208,Vardo,NO,48.18,moderate rain,70.3705,31.1107,Vardø Hotel AS
211,Cidreira,BR,59.88,clear sky,-30.1811,-50.2056,Hotel Castelo
214,Morgan City,US,75.0,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
215,Sechura,PE,64.18,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
216,Sao Sebastiao,BR,62.89,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
217,Catamarca,AR,65.59,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
218,Mocuba,MZ,72.05,clear sky,-16.8392,36.9856,Phama Lodge
222,La Ronge,CA,57.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
224,Iringa,TZ,59.9,few clouds,-7.7667,35.7,M.R. Hotels ltd.
225,Gravdal,NO,51.12,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
227,La Rioja,ES,53.38,broken clouds,42.25,-2.5,Casa Concejos
228,Riacho De Santana,BR,71.71,clear sky,-13.6092,-42.9389,Casa Nogueira
229,Dillon,US,67.1,clear sky,34.4166,-79.3712,Dillon Express Inn
235,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
236,Grindavik,IS,46.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
238,Virginia Beach,US,66.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
241,Labrea,BR,74.73,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
242,Ponta Do Sol,PT,74.71,few clouds,32.6667,-17.1,Hotel do Campo
246,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
249,Nador,MA,66.45,clear sky,35.174,-2.9287,Hôtel La Giralda
250,Fairbanks,US,55.4,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
251,Namibe,AO,64.98,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Comodoro Rivadavia,AR,42.66,clear sky,-45.8667,-67.5,Austral Hotel
255,Marstal,DK,55.31,overcast clouds,54.8562,10.5173,Aero Hotel
256,Aklavik,CA,37.13,broken clouds,68.2191,-135.0107,Aklavik Inn
257,Puerto Narino,CO,72.7,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
258,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
260,Sao Joao Da Barra,BR,63.46,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
263,Camana,PE,60.24,clear sky,-16.6228,-72.7111,Hostal Morales
266,Victor Harbor,AU,61.0,few clouds,-35.5667,138.6167,McCracken Country Club
267,Thompson,CA,50.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
268,Lexington Park,US,65.64,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
269,Waitati,NZ,52.81,broken clouds,-45.75,170.5667,Arden Country House BnB Dunedin
270,Fortuna,US,54.66,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
271,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
272,Leningradskiy,RU,35.6,light rain,69.3833,178.4167,Gostinitsa
274,Ancud,CL,37.22,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
276,Warrensburg,US,71.56,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
277,Mao,ES,72.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
283,Orbetello,IT,64.42,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
285,Vangaindrano,MG,69.26,light rain,-23.35,47.6,Hotel Fanilo
289,Nueva Loja,EC,67.3,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
290,Hammerfest,NO,45.05,light rain,70.6634,23.6821,Skytterhuset
293,Russell,US,70.83,clear sky,32.3502,-85.1999,Macs
295,San Juan,AR,65.5,overcast clouds,-31.5375,-68.5364,Hotel Provincial
296,Morehead,US,67.78,mist,37.2711,-87.1764,CCI Express Inn
297,Tipperary,IE,40.05,clear sky,52.4733,-8.1558,Aisling B&B
300,Elizabeth City,US,62.6,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
302,Tonj,SS,69.78,overcast clouds,7.2737,28.6822,Lakan Hotel
306,Tabira,BR,64.76,clear sky,-7.5908,-37.5394,Hotel jembo
307,Peleduy,RU,43.14,light rain,59.6289,112.7406,Гостиница «Уют»
311,Torbay,CA,56.57,broken clouds,47.6666,-52.7314,Gallows Cove
312,Paamiut,GL,46.78,moderate rain,61.994,-49.6678,Pistut
314,Thunder Bay,CA,57.11,mist,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
315,Ngaoundere,CM,63.99,light rain,7.3167,13.5833,Hotel Mentong Palace
316,Axim,GH,73.81,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
318,Pochutla,MX,73.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
324,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
326,Nanortalik,GL,47.03,light rain,60.1432,-45.2371,Hotel Kap Farvel
328,Ahipara,NZ,56.12,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Hearst,CA,48.45,overcast clouds,49.6835,-83.6665,Companion
332,Rumoi,JP,70.99,overcast clouds,43.9344,141.6428,Business Hotel R-Inn
334,Prince Rupert,CA,55.09,broken clouds,54.3161,-130.3201,Crest Hotel
335,Piacabucu,BR,70.84,clear sky,-10.4056,-36.4344,Piaçabuçu News
338,Ereymentau,KZ,54.43,broken clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
339,Eirunepe,BR,71.53,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
341,Orsha,BY,46.36,clear sky,54.5153,30.4053,Rudakovo Hotel
342,Rio Gallegos,AR,39.25,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
343,Pangnirtung,CA,40.3,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
346,Spanish Fork,US,64.67,clear sky,40.115,-111.6549,Days Inn by Wyndham Springville
